code,e,rd,ge,re,ee,el,te,sx
BE,0.732,0.030,-0.150,0.130,43.7,0.095,0.470,-380000
BG,0.760,0.015,0.200,0.160,16.9,0.110,0.360,-260000
CZ,0.750,0.010,0.090,0.130,39.6,0.055,0.320,-100000
DK,0.800,0.030,-0.200,0.300,17.8,0.100,0.400,-22000
DE,0.770,0.030,-0.140,0.180,276.6,0.100,0.420,-320000
EE,0.760,0.030,0.110,0.250,6.5,0.095,0.400,0
IE,0.690,0.020,-0.200,0.160,13.9,0.080,0.600,-200000
EL,0.700,0.012,-0.040,0.180,24.7,0.100,0.320,-450000
ES,0.740,0.020,-0.100,0.200,119.8,0.150,0.440,-1400000
FR,0.750,0.030,-0.140,0.230,219.9,0.095,0.500,-1900000
HR,0.629,0.014,0.110,0.200,11.5,0.040,0.350,-1220000
IT,0.670,0.015,-0.130,0.170,158,0.160,0.260,-2200000
CY,0.750,0.005,-0.050,0.130,2.2,0.100,0.460,-27000
LV,0.730,0.015,0.170,0.400,5.4,0.100,0.340,-121000
LT,0.728,0.019,0.150,0.230,6.5,0.090,0.487,-170000
LU,0.730,0.023,-0.200,0.110,4.5,0.100,0.660,-6000
HU,0.750,0.018,0.100,0.130,24.1,0.100,0.340,-450000
MT,0.700,0.020,0.050,0.100,0.7,0.100,0.330,-6560
NL,0.800,0.025,-0.160,0.140,60.7,0.080,0.400,-100000
AT,0.770,0.038,-0.160,0.340,31.5,0.095,0.380,-235000
PL,0.710,0.017,0.140,0.150,96.4,0.045,0.450,-1500000
PT,0.750,0.027,0.010,0.310,22.5,0.100,0.400,-200000
RO,0.700,0.020,0.190,0.240,43,0.113,0.267,-580000
SI,0.750,0.030,0.040,0.250,7.3,0.050,0.400,-40000
SK,0.720,0.012,0.130,0.140,16.4,0.060,0.400,0
FI,0.780,0.040,-0.160,0.380,35.9,0.080,0.420,0
SE,0.800,0.040,-0.170,0.490,43.4,0.070,0.450,0
UK,0.000,0.000,-0.160,0.150,177.6,0.000,0.000,0
